eurostat_code_ripartizione_2010,eurostat_code_ripartizione_2021,istat_code_ripartizione,istat_denominazione_ripartizione_maiuscolo,istat_denominazione_ripartizione_camel,eurostat_code_regione_2010,eurostat_code_regione_2021,istat_code_reg,istat_denominazione_regione_maiuscolo,istat_denominazione_regione_camel,istat_regione_tipo
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC1,ITC1,01,PIEMONTE,Piemonte,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC1,ITC1,01,PIEMONTE,Piemonte,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC1,ITC1,01,PIEMONTE,Piemonte,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC1,ITC1,01,PIEMONTE,Piemonte,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC1,ITC1,01,PIEMONTE,Piemonte,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC1,ITC1,01,PIEMONTE,Piemonte,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC1,ITC1,01,PIEMONTE,Piemonte,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC1,ITC1,01,PIEMONTE,Piemonte,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC2,ITC2,02,"VALLE D'AOSTA/VALLÉE D'AOSTE","Valle d'Aosta/Vallée d'Aoste",2
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC4,ITC4,03,LOMBARDIA,Lombardia,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC4,ITC4,03,LOMBARDIA,Lombardia,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC4,ITC4,03,LOMBARDIA,Lombardia,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC4,ITC4,03,LOMBARDIA,Lombardia,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC4,ITC4,03,LOMBARDIA,Lombardia,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC4,ITC4,03,LOMBARDIA,Lombardia,1
ITC,ITC,1,NORD-OVEST,Nord-ovest,ITC4,ITC4,03,LOMBARDIA,Lombardia,1
